"FAQ","FAQ"
"Question","Pregunta"
"Answer","Respuesta"
"Enter a question","Introduzca una pregunta"
"Enter an answer","Introduzca una respuesta"
"Appearance","Apariencia"
"Open Editor","Abrir editor"
"Delete","Eliminar"
