"FAQ","FAQ"
"Question","Pergunta"
"Answer","Resposta"
"Enter a question","Digite uma pergunta"
"Enter an answer","Digite uma resposta"
"Appearance","Aparência"
"Open Editor","Abrir editor"
"Delete","Excluir"
